"","Nombre","Marca","Precio","Supermercado","Hora","unidad","precio_unidad","Categoria","Subcategoria","Estado"
"12887","Oxígeno activo color Super Paco de Dia frasco 1 Kg","Industria Jabonera Lina S.A.U",3.1,"Dia",24356,"KILO",3.1,"Limpieza y hogar","Cuidado de la ropa","Añadir"
"12888","Arroz con leche con canela Caprichoso Dia tarrina 450 g","Andros la Serna, S.L.U",1.49,"Dia",24356,"KILO",3.31,"Yogures y postres","Arroz con leche y postre tradicional","Agotado"
"12889","Vino de cocina D.O. Montilla-Moriles Castillo de Velasco botella 75 cl","PÉREZ BARQUERO, S.A. R.E. 17/CO.",2.35,"Dia",24356,"LITRO",3.13,"Cervezas, vinos y bebidas con alcohol","Vino blanco","Añadir"
"12890","Atún claro en aceite de oliva virgen extra ecológico Cuca lata 82 g","Bolton Cile España, S.A.",2.55,"Dia",24356,"KILO",31.1,"Conservas, caldos y cremas","Atún, bonito y caballa","Agotado"
"12891","Espárragos blancos igp de navarra Delicias de Dia frasco 205 g","MCA Spain S.L.",3.99,"Dia",24356,"KILO",19.46,"Conservas, caldos y cremas","Conservas vegetales","Añadir"
"12892","Yogur natural de cabra Suerte Ampanera frasco 420 g","Suerte Ampanera, C.B.",3.15,"Dia",24356,"KILO",7.5,"Yogures y postres","Yogures naturales","Añadir"
"12893","Ternera en tacos añojo Selección de Dia bandeja 450 g aprox.","Central de Carnes Premium, S.A.",5.85,"Dia",24357,"KILO",12.99,"Carnicería","Vacuno","Añadir"
"12894","Servilletas suaves 2 capas La Llama Dia bolsa 100 unidades","Industrie Cartade Tronchetti Iberica S.L.U.",1.4,"Dia",24357,"UNIDAD",0.01,"Limpieza y hogar","Papel higiénico, de cocina, servilletas","Añadir"
"12895","Galletas rellenas de crema de cacao Nutella bolsa 304 g","Ferrero Ibérica, S.A.",3.99,"Dia",24357,"KILO",13.13,"Galletas, bollos y cereales","Galletas","Añadir"
"12896","Chapata de cristal 2 unidades bolsa 190 g","EUROPASTRY, S.A.",1.71,"Dia",24357,"KILO",9,"Panes, harinas y masas","Pan recien horneado","Añadir"
"12897","Nachos sabor a jalapeño Snack Maniac de Dia bolsa 150 g","Liven, S.A",1.35,"Dia",24357,"KILO",9,"Patatas fritas, encurtidos y frutos secos","Patatas fritas y aperitivos","Agotado"
"12898","Tomate rallado natural La gergaleña tarrina 200 g","La Gergaleña P.A, S.L.",1.39,"Dia",24357,"KILO",6.95,"Verduras","Verduras y ensaladas preparadas","Añadir"
"12899","Magro con tomate Pamplonica caja 380 g","Miteca Alimentación Saludable, S.L.U Fabricado por Industrias Cárnicas Tello, S.A.",4.75,"Dia",24357,"KILO",12.5,"Pizzas y platos preparados","Precocinados envasados","Añadir"
"12900","Calabaza a dados bolsa 500 g",NA,1.89,"Dia",24358,"KILO",3.78,"Verduras","Calabacín, calabaza y berenjena","Añadir"
"12901","Caldo natural de cocido El pavo brik 1 l","INPRALSA",3.49,"Dia",24358,"LITRO",3.49,"Conservas, caldos y cremas","Cremas y caldos líquidos","Agotado"
"12902","Fregona microfibras super Vileda bolsa 1 unidad",NA,5.59,"Dia",24358,"UNIDAD",5.59,"Limpieza y hogar","Utensilios de limpieza","Añadir"
